SUS,Percievable,Operable,Understandable,Robust,Flexibility,Recall,recognition,Errors,Hints,Trials before mastery,Times,Task Completetion 
100,5,5,5,5,4,0.75,1,0,0,1,3,1
100,5,5,5,5,4.5,1,1,2,0,2,9,0
100,5,5,5,5,4.5,1,1,0,0,1,12,1
100,5,5,5,5,4.5,1,1,0,0,1,14,1
100,5,5,5,5,4.5,1,1,1,1,2,10,0
82.5,4.25,5,5,3,5,1,1,3,1,2,21,1
70,3.25,4.5,3.666666667,3,5,1,1,8,1,2,35,1
87.5,3.25,5,4.666666667,3,3,0.8,1,1,0,1,9,1
90,3.25,4.5,4.333333333,3,3,0.75,0.75,0,0,1,4,1
82.5,3.75,5,4.666666667,3,1,1,0.666666667,0,0,1,9,1
82.5,4.5,5,4.333333333,3,5,1,1,4,0,2,11,0
87.5,4,5,4.333333333,3,2.5,1,1,0,0,1,9,1
87.5,4.25,5,4.333333333,3,2.5,1,1,0,0,1,8,1
90,4.25,4.5,4.333333333,3,4,1,1,6,2,3,20,1
87.5,4.5,4.5,4.666666667,3,3.5,0.5,1,9,1,2,31,1
90,4.5,5,5,3,3,0.8,0.8,2,1,3,6,0
87.5,4.5,5,5,3,3,0.75,1,2,1,2,3,1
92.5,4.5,5,5,3,3,1,0.666666667,1,0,2,10,0
92.5,4.5,5,5,3,3.5,1,1,0,0,1,12,1
95,4.5,5,5,3,3,1,1,0,0,1,9,1
87.5,4.5,5,5,3,3.5,1,1,0,0,1,9,1
100,4.5,5,5,3,3,0.833333333,1,3,1,3,29,1
85,4.5,5,4.333333333,3,3,1,1,5,1,2,39,1
90,4,5,4.666666667,3,1,0.8,1,3,1,2,14,1
100,4.5,5,4.666666667,3,1,0.75,1,0,0,1,10,1
100,4.25,5,5,3,1,1,1,0,0,1,14,1
100,4.5,5,5,3,1,1,1,0,0,1,18,1
100,4.5,5,5,3,1,1,1,2,0,2,17,1
100,4.25,5,5,3,1,1,1,0,0,1,11,1
92.5,4,4,4.666666667,5,3,1,1,3,1,2,21,1
97.5,4.5,3.5,4,5,4,1,1,7,0,2,35,1
92.5,4.5,5,4.666666667,5,3,1,1,1,0,2,10,1
100,4.5,4,4.666666667,5,4,1,1,0,0,1,8,1
100,4,4.5,4.666666667,5,3.5,1,1,0,0,1,13,1
100,4.5,4.5,4.666666667,5,4.5,1,1,0,0,1,16,1
100,4.5,5,4.666666667,5,4,1,1,0,0,1,9,1
100,4.5,4.5,4.666666667,5,4.5,1,1,0,0,1,9,1
87.5,4,4,4.333333333,4,4,1,1,2,0,2,14,1
72.5,3.75,4,4,3,4,1,1,4,1,2,20,1
85,4,4,4,4,4,1,1,0,0,1,3,1
92.5,4,4,4,4,4,1,1,0,0,1,3,1
90,5,5,4.666666667,5,4,1,1,0,0,1,13,1
82.5,4,4,4,4,4,1,1,0,0,1,12,1
87.5,4,5,4.333333333,4,4,1,1,0,0,1,8,1
87.5,4.5,4.5,4.333333333,4,4,1,1,0,0,1,4,1
77.5,4.5,4.5,4,3,3.5,1,1,3,1,2,28,1
60,4.25,4.5,4,3,3,1,1,7,0,2,26,1
82.5,4.5,5,3.666666667,3,3.5,1,1,0,0,1,5,1
90,4.5,4.5,4,3,3.5,1,1,3,0,2,3,1
90,4.5,5,5,3,5,1,1,0,0,1,9,1
92.5,4.5,5,5,3,3.5,1,1,2,0,2,15,0
90,4.5,5,5,3,4,1,1,0,0,1,7,1
90,4.5,5,5,3,4,1,1,0,0,1,7,1
50,4.25,3,2,3,2,0.833333333,1,5,0,2,24,1
25,2,3,2,3,4,0.5,0.5,14,1,2,25,1
40,3,2.5,2,3,3,0.6,0.8,0,0,1,11,1
60,3.75,4,4,3,3,0.75,1,0,0,1,4,1
65,3.75,4,4,3,4,0.666666667,0.666666667,0,0,1,15,1
57.5,3.5,4,2.333333333,3,4,1,1,0,0,1,25,1
70,3.75,4,4,3,3,1,1,0,0,1,9,1
55,3.25,4,4,3,4,1,1,0,0,1,8,1
87.5,5,4.5,3.666666667,5,3,0.833333333,1,1,0,2,28,1
20,5,3.5,3,5,4,0.5,1,4,0,2,30,1
95,5,5,5,5,5,0.8,1,0,0,1,12,1
97.5,5,5,5,5,5,0.75,1,0,0,1,5,1
100,5,5,5,5,5,1,1,0,0,1,14,1
100,5,5,5,5,5,1,1,1,1,2,9,0
100,5,5,5,5,5,1,1,1,0,2,6,1
100,5,5,5,5,5,1,1,0,0,1,7,1
90,4.5,4,4.333333333,3,2.5,0.833333333,1,3,1,2,31,1
85,4,5,4.333333333,3,5,1,1,2,0,2,41,1
95,4,5,4.666666667,3,5,0.8,0.8,0,0,1,15,1
97.5,4,5,4.666666667,3,4,0.75,0.75,0,0,1,9,1
97.5,4.25,5,4.666666667,4,4.5,1,1,0,0,1,22,1
77.5,3,4.5,2.666666667,3,3.5,0.8,1,3,1,2,20,0
97.5,4.25,5,4,3,4,0.75,1,0,0,1,11,1
95,4,5,4.666666667,3,4,0.666666667,1,1,1,2,12,0
100,5,5,5,5,5,0.833333333,1,1,0,2,30,1
97.5,4,5,5,5,5,1,1,4,0,2,26,1
100,5,5,5,5,5,1,1,0,0,1,7,1
100,5,5,5,5,5,1,1,0,0,1,4,1
100,5,5,5,5,5,1,1,0,0,1,10,1
97.5,5,5,4.666666667,5,5,1,1,2,0,2,13,0
100,5,5,5,5,5,1,1,0,0,1,8,1
100,5,5,5,5,5,1,1,0,0,1,7,1
97.5,4.5,5,4.666666667,3,4.5,1,1,4,1,2,18,1
92.5,4.5,5,4.333333333,3,5,0.5,1,6,2,2,24,1
92.5,4.5,5,4.333333333,3,5,1,0.8,0,0,1,11,1
92.5,4.5,5,4.666666667,3,5,1,1,3,0,2,4,1
95,4.5,5,4.666666667,3,5,1,0.666666667,0,0,1,11,1
92.5,4.5,5,4.666666667,3,5,1,1,0,0,1,15,1
97.5,4.5,5,5,3,5,1,1,0,0,1,8,1
97.5,4.5,5,5,3,5,1,1,0,0,1,8,1
80,5,4,3.666666667,5,2.5,0.833333333,1,2,0,2,15,1
90,4,5,4.333333333,5,4.5,1,1,0,0,1,25,1
85,4,5,4.666666667,5,3.5,0.8,1,0,0,1,11,1
95,4.25,5,4.666666667,5,4,0.75,1,2,0,2,5,1
95,4.5,5,4.666666667,5,3,1,1,0,0,1,11,1
77.5,4.75,4.5,4.333333333,5,2.5,1,1,0,0,1,18,1
90,4.75,5,4.333333333,5,3.5,1,1,0,0,1,12,1
90,4.5,5,4.333333333,5,3,1,1,0,0,1,6,1
80,4.25,4.5,4,3,3.5,1,1,1,0,2,33,1
87.5,4.75,5,4,3,2.5,0.5,0.5,1,1,2,33,1
82.5,4.75,5,4,3,3.5,0.6,1,0,0,1,22,1
35,4.5,5,3.333333333,4,2,0.75,1,11,1,2,4,1
87.5,5,5,4,5,3,0.666666667,1,0,0,1,15,1
82.5,4,5,4.333333333,5,3,1,1,0,0,1,27,1
90,4,5,4,4,3,1,1,0,0,1,18,1
85,4,5,4,4,3,1,1,0,0,1,14,1
77.5,4.5,5,5,3,2.5,0.833333333,1,4,1,2,34,1
62.5,3.5,3.5,4,3,2.5,1,1,4,0,3,27,0
97.5,4.25,5,5,3,2.5,0.8,0.4,0,0,1,13,1
17.5,3,3.5,3.666666667,3,3,1,0.25,14,0,2,5,1
97.5,4.5,5,4.666666667,3,1.5,0.666666667,0.666666667,0,0,1,19,1
100,4.5,5,4.666666667,3,1,0.8,1,0,0,1,16,1
67.5,4,5,5,3,1,0.75,1,1,0,2,16,1
100,4.5,5,5,3,1,0.666666667,1,2,1,2,13,0
90,4.75,5,4.666666667,5,5,1,1,2,2,2,36,1
92.5,5,5,5,5,5,1,1,3,0,2,63,1
100,5,5,5,5,5,0.8,1,0,0,1,17,1
100,5,5,5,5,5,0.75,1,0,0,1,9,1
100,5,5,5,5,5,1,1,0,0,1,15,1
97.5,5,5,4.666666667,5,5,1,1,0,0,1,20,1
100,5,5,5,5,5,1,1,0,0,1,20,1
100,5,5,5,5,5,1,1,0,0,1,11,1
90,4.5,4.5,4.666666667,5,4,0.833333333,1,3,1,2,32,1
95,4.75,5,4.666666667,4,4,1,1,2,0,2,35,1
92.5,5,5,5,5,4.5,0.8,0.6,0,0,1,13,1
75,4.5,5,4.666666667,3,4.5,0.75,0.75,3,1,2,5,1
95,5,5,5,4,5,1,0.666666667,0,0,1,15,1
92.5,5,5,4.333333333,4,5,1,1,0,0,1,22,1
92.5,5,5,5,5,5,1,0.75,0,0,1,24,1
92.5,5,5,5,4,5,1,1,1,1,2,17,0
97.5,5,5,5,5,5,0.833333333,1,2,1,2,28,1
100,5,5,5,5,5,1,1,1,0,2,32,1
100,5,5,5,5,5,0.8,1,0,0,1,18,1
75,5,5,5,5,5,0.75,1,3,2,2,7,1
100,5,5,5,5,5,1,1,0,0,1,11,1
100,5,5,5,5,5,0.8,1,0,0,1,20,1
100,5,5,5,5,5,0.75,1,1,0,2,22,1
100,5,5,5,5,5,0.666666667,1,0,0,1,22,1
22.5,2.25,2,2.666666667,2,2.5,0.666666667,1,5,9,3,144,1
27.5,2,3.5,3.333333333,2,2.5,0.5,0.5,4,4,3,212,0
42.5,3.5,3.5,3.333333333,4,3,0.8,1,3,7,3,78,0
52.5,3,3,4,3,4,0.75,1,1,3,3,36,0
77.5,4.75,4.5,4.333333333,3,5,1,1,2,0,2,33,0
95,5,4.5,5,5,5,0.6,1,0,1,1,105,1
95,5,5,5,5,5,0.75,1,1,1,2,37,1
90,5,5,5,5,5,0.666666667,1,1,1,2,30,0
95,3.75,4,4,4,3.5,1,0.833333333,1,4,3,73,1
82.5,4,4,3.666666667,4,3.5,1,1,0,3,2,97,1
75,3.5,4,2.666666667,3,3,0.6,1,2,3,3,71,0
70,4.25,4.5,4,4,3.5,0.75,1,0,0,1,21,1
92.5,4,4,4,4,3.5,0.666666667,1,1,0,2,28,0
82.5,4.25,4,4.333333333,5,4,0.8,1,1,1,2,28,0
72.5,3.75,4,3.666666667,4,3.5,1,1,0,1,2,109,1
85,4,4,3.666666667,5,4,1,1,1,1,2,32,0
82.5,4.5,5,4,3,4.5,0.833333333,0.666666667,0,6,3,69,1
77.5,4.75,4.5,4.333333333,5,4.5,0,1,2,6,3,181,0
57.5,4.25,5,3.333333333,3,4,0.4,1,3,2,3,64,0
50,4,4.5,3.333333333,4,3.5,0.5,1,0,1,2,55,1
62.5,4.5,3.5,3.666666667,5,5,0.666666667,1,0,1,2,62,0
97.5,4.75,5,4.666666667,4,4,1,0.8,0,3,2,53,0
97.5,4.5,4.5,4.666666667,5,4,0.75,1,1,1,2,87,1
90,4.75,4,4.333333333,5,4.5,1,1,0,0,1,57,1
87.5,5,5,5,5,5,0.833333333,0.833333333,0,2,2,53,1
92.5,5,5,5,5,5,0.5,1,1,2,2,108,1
97.5,5,5,5,5,5,0.6,1,0,1,2,28,1
95,5,5,5,5,5,0.75,0.75,1,1,2,10,1
97.5,5,5,5,5,5,0.666666667,1,0,0,1,28,1
97.5,5,5,5,5,5,1,1,0,0,1,19,1
97.5,5,5,5,5,5,1,1,1,1,2,18,1
97.5,5,5,5,5,5,1,1,0,0,1,15,1
45,2.75,2,3.666666667,3,3,0.833333333,0.5,1,9,4,241,0
50,4,4,4,3,3.5,0,0,0,5,3,148,0
60,3.75,3.5,4,4,4,0.2,0.6,0,3,2,58,1
47.5,4,3,4,4,4,0.5,1,1,5,4,31,0
55,4,4,4,4,4,0.333333333,0.666666667,0,3,2,27,0
60,4.25,4,4,4,4,1,0.8,0,3,2,37,0
62.5,4,4,4,4,4,1,0.75,1,1,2,37,1
65,4,4,4,4,4,1,1,0,1,2,33,0
82.5,4.5,5,5,3,5,0.833333333,0.833333333,1,3,2,59,1
87.5,4.5,5,5,3,5,0.5,0.5,2,2,2,134,1
67.5,4.25,4.5,5,3,5,0.4,0.8,5,4,4,82,0
90,4.5,4.5,4.666666667,3,4,0.75,1,2,2,2,34,1
100,4.5,5,4.333333333,3,5,0.666666667,0.666666667,0,0,1,47,1
97.5,4.5,5,5,3,5,0.8,1,1,1,3,49,0
97.5,4.5,4.5,4.666666667,3,5,1,0.75,1,1,2,29,1
90,4.5,5,4.666666667,3,5,1,1,1,1,2,23,0
50,3.75,4,3.666666667,2,4.5,0.833333333,0.666666667,6,11,4,118,0
100,5,5,5,5,5,0,0.5,1,2,3,147,0
42.5,4,4,3.333333333,2,2.5,0.8,0.8,5,3,3,69,0
85,4,4,4,4,4,1,1,1,2,2,20,1
80,4,4,4,4,4,0.666666667,1,3,1,3,34,0
52.5,3.25,3,3,3,3,0.8,0.8,2,3,2,30,0
52.5,2.5,3,3.333333333,3,3,1,1,3,3,3,72,0
50,3.25,3,3.333333333,3,3,1,1,1,0,2,21,0
67.5,3.5,2.5,3.666666667,2,3.5,0.5,0.833333333,2,4,3,95,1
92.5,4.75,5,4.666666667,5,4,1,0,1,2,2,117,1
75,4.25,4,4,4,4,0.4,1,2,3,3,49,0
67.5,3.75,3,3.666666667,3,4,0.75,1,2,2,4,30,0
87.5,4.25,5,5,3,4,0.666666667,1,1,1,2,41,0
77.5,4.25,4,4,4,4,0.6,0.8,1,1,2,69,0
92.5,4.25,4,4.333333333,4,4,1,1,0,0,1,26,1
75,4,4,4,4,4,0.666666667,1,0,0,1,29,1
95,5,5,5,5,5,0.666666667,0.666666667,1,4,3,80,1
95,4.5,5,5,5,5,0.5,0.5,1,1,2,157,1
95,4.5,5,5,5,5,0.6,1,1,2,2,37,1
95,5,5,5,5,5,0.5,1,0,0,1,12,1
97.5,5,5,5,3,5,1,1,0,0,1,24,1
95,4.5,5,5,3,5,1,1,0,1,2,57,0
97.5,4,5,5,3,5,1,1,0,0,1,35,1
97.5,4.75,5,5,4,5,1,1,0,0,1,9,1
52.5,3,4.5,4.666666667,5,3.5,0.833333333,0.833333333,1,3,2,59,1
97.5,5,5,4.333333333,4,4,0,0.5,1,1,2,90,1
47.5,4.75,3.5,3.666666667,5,4,0.2,1,2,3,3,51,0
42.5,5,3.5,4,5,4,0.5,0.75,6,3,3,21,0
87.5,5,5,4.333333333,5,4,0.666666667,1,0,0,1,19,1
95,5,4,4.333333333,5,4,1,0.8,0,2,2,34,0
90,5,5,4.333333333,5,4,1,1,0,0,1,26,1
95,5,5,4.333333333,5,4,1,1,0,0,1,21,1
100,5,5,5,5,5,1,0.833333333,0,2,2,64,1
97.5,5,5,5,5,5,0,1,1,1,2,98,1
100,5,5,5,5,5,0.6,1,2,2,2,39,1
100,5,5,5,5,5,0.75,0.75,0,0,1,19,1
100,5,5,5,5,5,0.666666667,1,0,0,1,19,1
100,5,5,5,5,5,1,1,0,1,2,25,0
100,5,5,5,5,5,0.75,0.75,0,1,1,26,1
100,5,5,5,5,5,1,1,0,0,1,19,1
